id,name,description,price,category,origin,roast_level,image_url
1,衣索比亞 耶加雪菲 水洗,來自衣索比亞耶加雪菲產區的經典水洗處理豆，帶有明亮的柑橘酸質與茉莉花香，口感清新乾淨，尾韻帶有綠茶般的甘甜。適合手沖與愛樂壓沖煮，展現細緻的風味層次。,680,單品豆,衣索比亞,淺焙,/img/1-衣索比亞 耶加雪菲 水洗(680).avif
2,哥倫比亞 娜玲瓏 蜜處理,哥倫比亞娜玲瓏產區的蜜處理豆，風味平衡且層次豐富。帶有焦糖、堅果與輕微的果香，口感圓潤順滑，適合日常飲用。無論是手沖、義式或法式濾壓都能展現其溫和的特性。,750,單品豆,哥倫比亞,中焙,/img/2-哥倫比亞 娜玲瓏 蜜處理(750).avif
3,瓜地馬拉 安提瓜 日曬,瓜地馬拉安提瓜火山產區的日曬處理豆，擁有濃郁的巧克力與焦糖風味，伴隨些許煙燻感。口感飽滿厚實，尾韻持久。適合深焙愛好者，可作為義式濃縮或拿鐵的基底。,720,單品豆,瓜地馬拉,深焙,/img/3-瓜地馬拉 安提瓜 日曬(720).avif
4,LIMA 經典配方豆,精選多產區豆子調配而成的經典配方，融合了衣索比亞的果香、哥倫比亞的平衡感與巴西的醇厚。風味層次豐富，帶有焦糖、堅果與輕微的巧克力調性，適合各種沖煮方式。,650,配方豆,多產區調配,中焙,/img/4-LIMA 經典配方豆(650).avif
5,義式濃縮配方豆,專為義式咖啡機設計的深焙配方豆，採用巴西、印尼與印度豆調配。風味濃郁強勁，帶有黑巧克力、焦糖與些許香料氣息，crema 豐富持久，完美適合製作拿鐵與卡布奇諾。,680,配方豆,多產區調配,深焙,/img/5-義式濃縮配方豆(680).avif
6,肯亞 AA 水洗,來自肯亞高海拔產區的 AA 級水洗豆，擁有明亮的莓果酸質與黑醋栗風味，口感乾淨俐落，帶有獨特的烏梅與紅茶尾韻。是手沖愛好者的經典選擇，展現非洲豆的鮮明特色。,780,單品豆,肯亞,淺焙,/img/6-肯亞 AA 水洗(780).avif
7,巴西 喜拉朵 日曬,巴西喜拉朵產區的日曬處理豆，風味溫和順口，帶有堅果、焦糖與輕微的巧克力調性。口感圓潤，酸度低，適合不喜歡酸味的朋友。無論是手沖、義式或冷萃都能展現其平易近人的特性。,580,單品豆,巴西,中焙,/img/7-巴西 喜拉朵 日曬(580).avif
8,衣索比亞 耶加雪菲 掛耳包 (5入),精選衣索比亞耶加雪菲水洗豆製成的掛耳包，方便隨時享受精品咖啡。每包 10g，風味明亮清新，帶有柑橘與茉莉花香，適合辦公室或旅行時使用。,350,掛耳包,衣索比亞,淺焙,/img/8-衣索比亞 耶加雪菲 掛耳包 (5入)(350).avif
9,LIMA 經典配方 掛耳包 (5入),採用 LIMA 經典配方豆製成的掛耳包，風味平衡豐富，帶有焦糖與堅果調性。每包 10g，方便攜帶，無論在家或辦公室都能輕鬆享受一杯好咖啡。,320,掛耳包,多產區調配,中焙,/img/9-LIMA 經典配方 掛耳包 (5入)(320).avif
10,義式濃縮配方 掛耳包 (5入),專為喜愛濃郁風味的朋友設計的深焙掛耳包，採用義式濃縮配方豆。風味強勁濃郁，帶有黑巧克力與焦糖氣息，適合製作拿鐵或直接飲用。,330,掛耳包,多產區調配,深焙,/img/10-義式濃縮配方 掛耳包 (5入)(330).avif
